"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 12 23:20:45 BRT 2023","Thu Oct 12 23:20:46 BRT 2023","1071","","bookstore.automation.api.tests.RegistUserTest","","bookstore.automation.api.tests.RegistUserTest","createAnAccountWithBlankPassword","Create an account with blank password return - 400",""
"passed","Thu Oct 12 23:20:42 BRT 2023","Thu Oct 12 23:20:43 BRT 2023","977","","bookstore.automation.api.tests.RegistUserTest","","bookstore.automation.api.tests.RegistUserTest","createAnAccountWithTheSameDataAsAnExistingAccount","Create an account with the same data as an existing account return - 400",""
"passed","Thu Oct 12 23:20:40 BRT 2023","Thu Oct 12 23:20:41 BRT 2023","969","","bookstore.automation.api.tests.RegistUserTest","","bookstore.automation.api.tests.RegistUserTest","createAnAccountWithaPasswordThatDoesNotContainSpecialCharacters","Create an account with a password that does not contain special characters return - 400",""
"passed","Thu Oct 12 23:20:23 BRT 2023","Thu Oct 12 23:20:32 BRT 2023","9358","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deleteAccount","Delete account return - 204",""
"passed","Thu Oct 12 23:20:37 BRT 2023","Thu Oct 12 23:20:38 BRT 2023","1208","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidPassword","Login with invalid password return - 400",""
"passed","Thu Oct 12 23:20:33 BRT 2023","Thu Oct 12 23:20:35 BRT 2023","2815","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deletNonExistentUser","Delet non-existent user return code - 1207",""
"passed","Thu Oct 12 23:20:38 BRT 2023","Thu Oct 12 23:20:39 BRT 2023","1116","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginSucessfully","Login sucessfully return - 200",""
"passed","Thu Oct 12 23:20:35 BRT 2023","Thu Oct 12 23:20:37 BRT 2023","1177","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsernameAndPassword","Login with invalid username and password  return - 400",""
"passed","Thu Oct 12 23:20:41 BRT 2023","Thu Oct 12 23:20:42 BRT 2023","978","","bookstore.automation.api.tests.RegistUserTest","","bookstore.automation.api.tests.RegistUserTest","newAccountRegistration","Registration of a new account return - 201",""
"passed","Thu Oct 12 23:20:44 BRT 2023","Thu Oct 12 23:20:45 BRT 2023","789","","bookstore.automation.api.tests.RegistUserTest","","bookstore.automation.api.tests.RegistUserTest","createAnAccountWithBlankUsernameAndPassword","Create an account with blank username and password return - 400",""
"passed","Thu Oct 12 23:20:43 BRT 2023","Thu Oct 12 23:20:44 BRT 2023","729","","bookstore.automation.api.tests.RegistUserTest","","bookstore.automation.api.tests.RegistUserTest","createAnAccountWithBlankUserName","Create an account with blank userName return - 400",""
"passed","Thu Oct 12 23:20:39 BRT 2023","Thu Oct 12 23:20:40 BRT 2023","1073","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsername","Login with invalid username return - 400",""
